Date,GOOGLE,AMZN
1/9/06,233.683685,47.080002
1/10/06,235.115112,45.650002
1/11/06,236.051056,44.93
1/12/06,232.047043,44.360001
1/13/06,233.358353,44.400002
1/17/06,233.788788,44
1/18/06,222.677673,44.32
1/19/06,218.443451,44.450001
1/20/06,199.929932,43.919998
1/23/06,213.963959,43.73
1/24/06,221.73674,44.02
1/25/06,216.716721,43.599998
1/26/06,217.352356,44.68
1/27/06,216.96196,45.220001
1/30/06,213.623627,44.959999
1/31/06,216.546539,44.82
2/1/06,201.091095,43.98
2/2/06,198.218216,42.740002
2/3/06,190.965973,38.330002
2/6/06,192.742737,37.950001
2/7/06,184.14415,37.52
2/8/06,184.724731,38.169998
2/9/06,179.56456,37.990002
2/10/06,181.486481,38.52
2/13/06,173.023026,37.860001
2/14/06,171.831833,38.25
2/15/06,171.361359,39.259998
2/16/06,183.413406,39.150002
2/17/06,184.559555,39.189999
2/21/06,183.478485,38.290001
2/22/06,182.927933,38.720001
2/23/06,189.224228,37.900002
2/24/06,188.888885,38.349998
2/27/06,195.385391,38.009998
2/28/06,181.491486,37.439999
3/1/06,182.582581,37.119999
3/2/06,188.413406,36.880001
3/3/06,189.279282,37.209999
3/6/06,184.234238,36.860001
3/7/06,182.40741,36.93
3/8/06,177.117111,36.810001
3/9/06,171.671677,36.119999
3/10/06,168.918915,36.220001
3/13/06,168.6987,36.189999
3/14/06,175.755753,36.91
3/15/06,172.422424,36.889999
3/16/06,169.55455,36.77
3/17/06,170.065063,35.990002
3/20/06,174.269272,36.23
3/21/06,170.130127,35.919998
3/22/06,170.280273,36
3/23/06,171.116119,35.68
3/24/06,183.083084,35.470001
3/27/06,185.030029,35.25
3/28/06,188.788788,35.689999
3/29/06,197.687683,36.32
3/30/06,194.414413,36.669998
3/31/06,195.19519,36.529999
4/3/06,195.045044,36.139999
4/4/06,202.372375,36.77
4/5/06,204.199203,37.34
4/6/06,205.795792,38.509998
4/7/06,203.283279,37.09
4/10/06,208.398392,36.610001
4/11/06,205.035034,36.060001
4/12/06,204.679672,36.130001
4/13/06,201.281281,36.619999
4/17/06,203.613617,35.27
4/18/06,202.322327,36.279999
4/19/06,205.45546,36.889999
4/20/06,207.707703,36.34
4/21/06,218.768768,36.029999
4/24/06,220.470474,35.790001
4/25/06,213.793793,35.549999
4/26/06,213.198196,35.790001
4/27/06,210.22522,35.740002
4/28/06,209.179184,35.209999
5/1/06,199.649643,34.59
5/2/06,197.597595,34.380001
5/3/06,197.282288,33.959999
5/4/06,197.572571,34.470001
5/5/06,197.347351,35.040001
5/8/06,197.587585,34.689999
5/9/06,204.604599,34.84
5/10/06,201.691696,34.16
5/11/06,193.693695,33.529999
5/12/06,187.252258,32.73
5/15/06,188.288284,32.779999
